,delta
5340,-0.3364721223355378
4899,0.1541497274522019
832,0.0
433,0.10536051510227296
3787,0.0
1996,-0.2876816557857218
3362,0.1251630645226829
2128,-0.28768190578521313
1108,0.6931461805614454
4617,-0.28768198911847165
2808,-0.26236380292984585
562,0.0
2009,0.0
3218,10.819798284210286
2739,0.0
5427,-0.10536007121525692
3701,0.0
3159,0.0
2740,-0.33647109376798845
5422,0.0
1888,0.4700028792469553
1745,-0.1823215401272904
1288,0.22314353881420956
1118,0.0
1072,0.33647217947836516
3217,0.0
2469,0.0
4866,0.0
3821,-0.1541504417323889
3829,0.0
492,0.0
1460,-0.1541506322082249
3884,-0.18232139012744142
904,0.7339691317468677
3873,0.22314330131449012
1574,0.0
900,-0.22314353464754433
5406,0.0
2806,0.0
2237,-0.4054617748026086
2260,0.0
2807,-0.24116166720713217
1035,-0.47000355424574813
5434,0.0
2741,0.0
539,-0.1823215234606277
3973,0.0
2389,0.9162901318745753
3482,0.14310074107664406
5354,0.0
1479,0.0
1654,0.20067069344194977
3518,-0.18232139012744142
275,0.0
5373,-0.33647109376798845
4711,0.0
4585,0.0
4665,0.0
2661,1.3862868611667647
4153,2.3025760930435446
4698,0.1541504417323889
4531,0.0
5188,-0.22314350131422067
2901,0.1823214901273129
2199,0.0
3104,-0.28768173911883643
3713,-0.24116166720713217
2626,-0.06453843780434632
1930,0.0
423,0.11778303287860581
3378,-0.06899277624898659
3852,0.0
1110,-0.1823214901273129
1030,0.28768198911847165
1320,0.223143541314208
5454,0.0
137,-0.2231435179808816
960,-0.06899286910600111
3126,-0.28768123912087873
4056,0.6931468472267799
3990,1.0116008321330323
535,0.16705408186596316
1449,0.0
4724,0.0
1747,0.5108255904326597
3851,-0.14310074107664406
4781,0.0
2420,0.4054648303305797
726,0.0
1125,-0.15415065601773748
27,0.0
4068,0.0
1233,0.40546502477484836
1061,0.33647217947836516
4064,0.33647166519362237
4489,-0.18232122346123347
1947,-0.22314350131422067
421,-0.13353138905309336
3966,0.0
2047,-0.33647195090717297
2597,0.3254221867595568
1378,0.40546494144156675
1331,0.0
916,0.0
3750,0.0
1722,-0.40546477477510834
431,0.10536051343560615
1009,0.0
2453,2.2335803168330575
2391,0.22314350131422067
909,0.0
1675,0.24116204707662803
4405,0.0
232,0.0
120,0.0
3783,0.18232122346123347
507,0.0
2891,0.11778275787926162
417,-0.20067068536114263
2589,-0.4054617748026086
591,0.18232155012729123
2196,0.9162877318846547
4638,0.0
1735,0.5108255970993234
1669,-0.223143541314208
1317,0.3483066697584114
5405,-0.405464274776568
2195,-0.18232122346123347
1240,0.22314354631421196
1628,0.3364721223355378
4693,0.0
380,0.09531017525887009
5323,-0.10536049343560805
5400,0.22314338464766692
1730,-0.5108254904326923
4825,-0.13353137476738297
3632,0.0
3643,0.0
1934,-0.13353135691024676
4387,-0.08701122547474327
2967,0.0
3294,-0.51082529043288
3716,-0.33647166519362237
870,-0.1823215545717325
4322,0.0
1256,-0.24116204707662803
2827,0.0
3106,0.7621392901429314
4428,11.225256725762893
3081,0.0
5006,-0.2876804057948359
2494,-0.5108202904895442
1036,-0.22314350131422067
975,0.3364722080497877
4801,0.0
4105,0.6931466805603215
5300,-0.287681794674274
2176,0.40546477477510834
5287,0.0
3059,0.22314305131533452
2848,0.0
3721,0.0
2631,0.0
156,-0.9162901318745753
2474,0.4054634414484415
3417,0.6359882438446238
1015,0.0
413,-0.06899287053457215
5450,0.40546477477510834
3452,-0.22314353464754433
2963,-0.28768123912087873
4930,-0.22314330131449012
3723,-0.28768203078512045
1273,0.0
4506,0.1823214901273129
1111,0.2578290959331184
3289,0.0
4238,0.6931446805693202
2311,-14.731801689838349
3152,-0.18232144568291275
3690,-0.11332864244987739
4229,-0.6931421805974445
5444,0.0
3103,0.0
5290,0.5108254904326923
1523,0.5596156807925858
1006,0.0
5202,-0.10536051010227254
2292,0.0
759,0.22314353464754433
1646,-0.09531017798614272
2085,0.0
3847,-0.33647166519362237
1664,-0.13353138905309336
331,-0.1541506322082249
3396,0.0
2814,-0.356674515367823
579,-0.223143541314208
1689,0.35667490108159505
5093,0.22314330131449012
1077,0.0
2833,0.6931461805614454
3624,-0.10536046010230038
3791,-0.13353137476738297
3074,0.51082529043288
5173,0.0
5286,-0.22314338464766692
804,0.0
997,0.0
4402,-0.22314330131449012
526,0.0
1913,0.15415065601773748
3232,0.0
481,-0.22314350131422067
680,-0.13353138905309336
318,-0.40546494144156675
1524,0.48550771962787387
5090,0.8266753589119542
1572,-0.28768203078512045
620,-0.47000355424574813
5374,0.0
4009,-0.20067059445210056
3437,0.26236380292984585
5345,0.0
1517,-0.09531016162251049
905,-0.5108255793215513
3835,0.0
2638,-0.18232022347040022
709,-0.26236424139057135
4289,-0.26570306428376966
3354,0.40546469144193154
5420,-0.356674515367823
3571,0.6286080760895985
5239,-0.22314305131533452
7,0.0
4784,-0.15415065601773748
5114,-0.22314330131449012
3076,0.0
4404,0.0
595,-0.1278333660553379
3959,0.0
3596,-0.22314330131449012
3982,0.10536051343560615
220,-0.10536046010230038
5204,-0.22314330131449012
3314,-0.1823208901297324
2247,0.0
2635,0.0
4277,0.0
4432,0.0
31,-0.18232154568284287
5436,0.40546477477510834
2136,0.0
1701,0.0
5032,0.28768123912087873
3014,-0.28768123912087873
5200,0.0
112,0.5108255904326597
3403,0.0
5191,0.0
1383,0.0
5438,0.0
1005,-0.40546494144156675
2931,0.0
5265,-0.22314350131422067
3501,-0.33647166519362237
2621,-0.15415020363825604
4859,0.0
4805,0.0
1636,0.0
3762,0.22314330131449012
1494,0.0
3894,-0.18232139012744142
5008,0.0
4292,0.08338157415645675
4360,0.47000312924627785
2509,-0.11778248010345216
2265,-0.1053604045468326
2257,0.0
2003,-0.28768198911847165
3170,0.0
1587,0.0
4119,0.22314345131425384
2050,-0.18232144568291275
3335,0.7537704788494022
2105,0.4054617748026086
4807,0.6931371807099431
4359,-0.3254221867595568
1978,-0.1541506322082249
1577,0.15415066792249732
2770,-0.22314338464766692
361,0.0
4062,0.9808284196791579
3649,0.0
4019,0.08004270126328095
4911,0.2876816557857218
114,0.0
4919,0.5108254015438671
3737,0.0
3511,0.4054645525533793
1053,0.0
140,0.35667485822446743
2190,0.0
5392,0.0
4907,0.22314338464766692
4481,0.0
2756,-0.22314330131449012
5016,-0.1541506322082249
2693,0.0
981,-0.5596155736497916
2146,0.0
1010,-0.3364721223355378
1375,-0.13353137476738297
2532,0.8873023546656142
143,-0.4054634414484415
1052,0.0
3605,0.11332864244987739
603,0.0
5232,-0.22314350131422067
5146,0.0
4246,-0.1541506322082249
1165,0.1823215234606277
836,0.0
1140,-0.6931469805600052
2911,-0.22314330131449012
1965,0.0
4370,0.0
741,0.0
2144,0.0
3263,0.0
2869,0.0
4882,0.18232139012744142
917,0.0
3736,0.0
2606,0.0
1466,0.1823215234606277
3653,0.06899284767743552
659,-0.2513143965348785
3006,0.4054645525533793
4997,1.6739656003241006
60,-0.06899282386793537
2043,-0.3364721223355378
2405,0.2006702914225631
3416,0.36772409636591874
1147,-0.15415066792249732
4967,-0.11778300787861262
508,0.0
715,-0.24116204707662803
3675,0.0
4592,-0.22314345131425384
3384,-0.1823208901297324
524,-0.0896121560111176
237,-0.10536046010230038
3527,0.057158381160229865
5189,-0.18232144568291275
4593,-0.22314345131425384
3377,0.0
1287,0.0
929,-0.22314350131422067
5307,-0.22314345131425384
1983,0.0
717,-0.11332868102129012
2867,-0.4855073350129544
2174,-0.2876804057948359
3560,-0.06899284767743552
678,-0.13353137476738297
737,0.11778302176749555
745,-0.13353138369595285
3748,0.0
2041,0.11778302176749555
59,0.5108254904326923
4732,0.0
2501,-0.18232122346123347
2081,0.0
2414,-0.2047943284709639
2346,-0.16989897892504757
4212,0.6931466805603215
4740,-0.06899284767743552
4497,0.51082529043288
1414,0.2513144124078899
2327,-0.4054617748026086
2583,0.16251884126253024
5035,0.28768190578521313
575,-0.1823215234606277
2209,-0.28768123912087873
3694,-0.08338157415645675
4126,0.22314350131422067
3390,0.2876816557857218
363,-0.11778303287860581
5235,0.5108254904326923
256,-13.815511557963774
4819,-0.22314330131449012
2160,0.0
1430,0.5108254904326923
4396,0.0
3444,0.510822957113545
2335,-0.356674515367823
5310,0.0
2441,0.0
1475,0.0
1592,-0.28768190578521313
3562,0.0
2356,0.0
2854,0.0
4852,0.22314255131870908
25,0.0
4140,0.0
4381,0.16251875302737773
572,0.1823215401272904
1986,-0.35667485822446743
1395,-0.16705407067715328
1690,-0.28768198911847165
3041,0.0
4240,0.0
713,-0.40546499699708427
1798,0.0
4948,-0.22314338464766692
4386,-0.22314330131449012
2615,0.33647166519362237
640,-0.22314345131425384
2954,0.0
2738,-0.2876787391573359
2539,0.1053604045468326
4117,0.8472974794350048
4987,0.0
4804,-0.1823208901297324
1369,0.0
1521,-0.5596147165089569
141,-0.11778289676765752
1324,0.0
948,0.0
209,-0.22314345131425384
1602,-0.20067065505811854
4544,-0.18232154568284287
1506,0.8873030269337097
5018,0.0
1347,-0.35667490108159505
4565,-0.18232144568291275
3804,-0.28768123912087873
